query,source,doi,title,year,venue,authors,abstract,url,problem_claimed,mechanism,hidden_assumptions,fixed_variables,failure_modes,novelty_effect,open_questions
robot topology change detection,crossref,10.1109/icassp39728.2021.9413857,Network Topology Change-Point Detection from Graph Signals with Prior Spectral Signatures,2021,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","Kaushik, Chiraag, Roddenberry, T. Mitchell, Segarra, Santiago",,https://doi.org/10.1109/icassp39728.2021.9413857,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/access.2024.3452067,Detection Approach for Station Area Topology Change Based on Multi-Time Scale,2024,IEEE Access,"Hao, Fangzhou, Wang, Shaohua",,https://doi.org/10.1109/access.2024.3452067,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/ijcnn.2006.247105,Topology Selection for Signal Change Detection in Sensor Networks: RBF vs MLP,2006,The 2006 IEEE International Joint Conference on Neural Network Proceedings,"King, J.L., Reznik, L.",,https://doi.org/10.1109/ijcnn.2006.247105,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/ijcnn.2006.1716435,Topology Selection for Signal Change Detection in Sensor Networks: RBF vs MLP,None,The 2006 IEEE International Joint Conference on Neural Network Proceedings,"King, J.L., Reznik, L.",,https://doi.org/10.1109/ijcnn.2006.1716435,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/tsg.2020.2978541,"Graphical Models in Meshed Distribution Grids: Topology Estimation, Change Detection &amp; Limitations",2020,IEEE Transactions on Smart Grid,"Deka, Deepjyoti, Talukdar, Saurav, Chertkov, Michael, Salapaka, Murti V.",,https://doi.org/10.1109/tsg.2020.2978541,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1117/12.2587494,Designing a mixed reality interface for autonomous robot-based change detection,2021,"Virtual, Augmented, and Mixed Reality (XR) Technology for Multi-Domain Operations II","Reardon, Christopher, Gregory, Jason M., Nieto-Granda, Carlos P., Rogers, John G.",,https://doi.org/10.1117/12.2587494,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion,unknown from abstract,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.20965/ijat.2025.p0178,Change Detection in Image Pairs for Plant Inspection Using Mobile Robot,2025,International Journal of Automation Technology,"Shimizu, Susumu, Igaue, Takuya, Kasahara, Jun Younes Louhi, Yamato, Naoya, Kasahara, Seiji, Ito, Hiroyuki, Daito, Taizo, Tamura, Sunao, Sasamura, Akinobu, Kato, Toshiya","In this study, we propose a system to detect changes in three-dimensional (3D) space for autonomous plant visual inspection by a mobile robot. The videos captured by a mobile robot during past inspections are compared with the videos obtained during the current inspection using both pose information and the acquired images. To ensure robustness against changes in shooting conditions, change detection is executed employing deep learning techniques. Subsequently, the detected information is projected onto a 3D space to localize the changes. To verify the effectiveness of the proposed method, experiments were conducted both in a real plant environment and a simulated indoor plant environment. The results of the outdoor experiments showed that the proposed system achieved image pair determination, change detection, and integration into a 3D space. The results of the indoor experiments and evaluations confirmed that the proposed method for image pair determination was suitable based on considerations of detection accuracy and computation time.",https://doi.org/10.20965/ijat.2025.p0178,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion,planner and cost function,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.5013/ijssst.a.17.40.34,Dynamic Simulation of Variable Topology Tetrahedral Robot,2016,"International Journal of Simulation: Systems, Science &amp; Technology","Du, Guest Editor Jianping",,https://doi.org/10.5013/ijssst.a.17.40.34,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/icinfa.2016.7832132,Multi-objective topology optimization for industrial robot,2016,2016 IEEE International Conference on Information and Automation (ICIA),"Chu, Xu-yang, Xu, Hui-huang, Shao, Gui-fang, Zheng, Wei-feng",,https://doi.org/10.1109/icinfa.2016.7832132,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/icra.2019.8794463,"TREE: A Variable Topology, Branching Continuum Robot",2019,2019 International Conference on Robotics and Automation (ICRA),"Lastinger, Michael C., Verma, Siddharth, Kapadia, Apoorva D., Walker, Ian D.",,https://doi.org/10.1109/icra.2019.8794463,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/icarm62033.2024.10715892,Underactuated Finger Topology for Humanoid Robot Grasp,2024,2024 International Conference on Advanced Robotics and Mechatronics (ICARM),"Feng, Kehan, Duan, Zhengping, Han, Chi, Guo, Zihan, Zhang, Wenzeng",,https://doi.org/10.1109/icarm62033.2024.10715892,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1142/s0219887811005622,GAUGE GROUP AND TOPOLOGY CHANGE,2011,International Journal of Geometric Methods in Modern Physics,"TANAKA, IZUMI, NAGAMI, SEIJI","The purpose of this study is to examine the effect of topology change in the initial universe. In this study, the concept of G-cobordism is introduced to argue about the topology change of the manifold on which a transformation group acts. This G-manifold has a fiber bundle structure if the group action is free and is related to the spacetime in Kaluza–Klein theory or Einstein–Yang–Mills system. Our results revealed the fundamental processes of compactification in G-manifolds. In these processes, the initial high symmetry and multidimensional universe changes to present universe by the mechanism which lowers the dimensions and symmetries.",https://doi.org/10.1142/s0219887811005622,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1142/9789812704030_0326,GREEN FUNCTION FOR TOPOLOGY CHANGE,2006,The Tenth Marcel Grossmann Meeting,"PINTO-NETO, NELSON, MARTIN, JÉRÔME, SOARES, IVANO DAMIĀO",,https://doi.org/10.1142/9789812704030_0326,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1088/1126-6708/2005/03/060,Green Functions for Topology Change,2005,Journal of High Energy Physics,"Martin, Jerome, Pinto-Neto, Nelson, Soares, Ivano Damiao",,https://doi.org/10.1088/1126-6708/2005/03/060,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1103/physrevd.78.104003,Phantom stars and topology change,2008,Physical Review D,"DeBenedictis, Andrew, Garattini, Remo, Lobo, Francisco S. N.",,https://doi.org/10.1103/physrevd.78.104003,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1063/1.2399598,"Kinks, Cobordisms and Topology Change",2006,AIP Conference Proceedings,"Harriott, Tina A., Williams, J. G.",,https://doi.org/10.1063/1.2399598,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1103/physrevb.83.174113,Topology-change surgery for crystals,2011,Physical Review B,"Matsuura, T., Tsuneta, T., Kumagai, G., Tsubota, M., Matsuyama, T., Tanda, S.",,https://doi.org/10.1103/physrevb.83.174113,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/mfi.2014.6997713,Smart locomotion generation based on automatic orientation and topology detection of a reconfigurable modular robot,2014,2014 International Conference on Multisensor Fusion and Information Integration for Intelligent Systems (MFI),"Krupke, Dennis, Noeske, Martin, Wasserfall, Florens, Zhang, Jianwei",,https://doi.org/10.1109/mfi.2014.6997713,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,unknown from abstract,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1109/meco55406.2022.9797135,Topology Change Localisation in WSNs,2022,2022 11th Mediterranean Conference on Embedded Computing (MECO),"Zakrzewski, Robert, Martin, Trevor, Oikonomou, George",,https://doi.org/10.1109/meco55406.2022.9797135,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1063/1.3141228,The dynamics of topology change,2009,AIP Conference Proceedings,"Butcher, Neil A., Saffin, Paul M., Kunze, Kerstin E., Mars, Marc, Vázquez-Mozo, Miguel Angel",,https://doi.org/10.1063/1.3141228,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1142/9789812384935_0021,Selection Rules for Topology Change,1993,Advanced Series in Astrophysics and Cosmology Hawking on the Big Bang and Black Holes,"Gibbons, G. W., Hawking, S. W.",,https://doi.org/10.1142/9789812384935_0021,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1007/bf02100864,Selection rules for topology change,1992,Communications in Mathematical Physics,"Gibbons, G. W., Hawking, S. W.",,https://doi.org/10.1007/bf02100864,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1140/epjc/s10052-014-2884-5,Gravity’s Rainbow induces topology change,2014,The European Physical Journal C,"Garattini, Remo, Lobo, Francisco S. N.",,https://doi.org/10.1140/epjc/s10052-014-2884-5,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1142/9789812702340_0053,ON D-BRANE TOPOLOGY CHANGE,2004,Quantum Theory and Symmetries,"ALEXANIAN, GARNIK G., BALACHANDRAN, A.P., SILVA, PEDRO J.",,https://doi.org/10.1142/9789812702340_0053,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1016/0370-2693(90)90409-y,Topology change in string theory,1990,Physics Letters B,"Cvetič, Mirjam, Kutasov, David",,https://doi.org/10.1016/0370-2693(90)90409-y,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
robot topology change detection,crossref,10.1142/s0217751x05024675,GREEN FUNCTIONS FOR TOPOLOGY CHANGE,2005,International Journal of Modern Physics A,"PINTO-NETO, NELSON, MARTIN, JÉRÔME, SOARES, ÍVANO DAMIÃO","We explicitly calculate the Green functions describing quantum changes of topology in Friedmann-Lemaître-Robertson-Walker Universes whose spacelike sections are compact but endowed with distinct topologies. The calculations are performed using the long wavelength approximation at second order in the gradient expansion. We argue that complex metrics are necessary in order to obtain a non-vanishing Green functions and interpret this fact as demonstrating that a quantum topology change can be viewed as a quantum tunneling effect. The result shows that the quantum topology changes in the direction of negatively curved hypersurfaces are strongly enhanced as time goes on, while transitions in the opposite direction are suppressed.",https://doi.org/10.1142/s0217751x05024675,detect or track changes in robot workspace structure or map state,metadata-only screening from title/abstract,environment change is slow enough to be segmented from motion; topology can be represented reliably in a graph or symbolic abstraction,workspace discretization,false alarms from temporary clutter,candidate related work for topology-change detection framing,needs full-text validation
